elapsed_s,position_ns,audio_master,error_p50_ms,error_p99_ms,slope_ms_min,presented,dropped,cadence,starved,rebuilds,discontinuities,host_gaps,surface_waits
87.008,86957458333,1,-7.10417,13.8125,-0.408734,2490,120,2728,0,0,0,0,0
88.0127,87962145833,1,-7.6875,13.4792,-0.607678,2520,120,2758,0,0,0,0,0
89.0118,88961250000,1,-8.10417,13.4792,-0.752912,2550,120,2788,0,0,0,0,0
90.0142,89963625000,1,-8.72917,13.8125,-0.99126,2580,120,2818,0,0,0,0,0
91.0147,90964187500,1,-9.25,14.1458,-1.23737,2610,120,2848,0,0,0,0,0
92.0128,91962291666,1,-9.9375,14.875,-1.38902,2639,121,2879,0,0,0,0,0
93.0167,92966187500,1,-10.6875,15.4792,-1.68732,2668,122,2910,0,0,0,0,0
94.0014,93950854166,1,-10.9167,15.5417,-1.36079,2696,124,2942,0,0,0,0,0
95.0006,94950125000,1,-11.3333,15.5417,-1.02519,2725,125,2973,0,0,0,0,0
96.0016,95951083333,1,-11.5417,15.5417,-0.745565,2755,125,3003,0,0,0,0,0
97.0033,96952791666,1,-10.75,15.5417,-0.545644,2784,126,3034,0,0,0,0,0
98.0042,97953791666,1,-8.22917,15.7708,-0.392873,2813,127,3065,0,0,0,0,0
99.0042,98953729166,1,-4.16667,15.7708,-0.247367,2843,127,3095,0,0,0,0,0
100.003,99952625000,1,-3.5625,15.7708,-0.0723354,2873,127,3125,0,0,0,0,0
101.006,100955854166,1,-3.33333,15.7708,-0.0172956,2903,127,3155,0,0,0,0,0
102.008,101957229166,1,-3.45833,15.625,-0.0102002,2933,127,3185,0,0,0,0,0
103.009,102958291666,1,-3.91667,15.625,-0.039215,2963,127,3215,0,0,0,0,0
104.009,103958979166,1,-4.5,15.625,-0.089493,2993,127,3245,0,0,0,0,0
105.01,104959291666,1,-5.66667,15.625,-0.14685,3023,127,3275,0,0,0,0,0
106.01,105959145833,1,-6.39583,14.9167,-0.196431,3053,127,3305,0,0,0,0,0
107.011,106960375000,1,-7.4375,14.6667,-0.280797,3083,127,3335,0,0,0,0,0
108.012,107961250000,1,-8.1875,11.4583,-0.386734,3113,127,3365,0,0,0,0,0
109.013,108962187500,1,-9.08333,12.75,-0.514449,3143,127,3395,0,0,0,0,0
110.013,109963166666,1,-9.58333,13.4792,-0.662283,3173,127,3425,0,0,0,0,0
111.014,110964125000,1,-10.4167,14.1042,-0.831061,3203,127,3455,0,0,0,0,0
112.015,111964666666,1,-10.7708,14.8333,-1.0052,3233,127,3485,0,0,0,0,0
113.013,112962708333,1,-11.4167,15.75,-1.1161,3261,129,3517,0,0,0,0,0
114.001,113950750000,1,-11.9792,16.0833,-0.8981,3289,131,3549,0,0,0,0,0
115.001,114950875000,1,-12.2708,16.0833,-0.6941,3318,132,3580,0,0,0,0,0
116.003,115952312500,1,-12.3333,16.0833,-0.537566,3348,132,3610,0,0,0,0,0
117.015,116965041666,1,-12.3333,16.0833,-0.715505,3375,135,3643,0,0,0,0,0
118.007,117956541666,1,-3.625,16.0833,-0.670034,3405,135,3673,0,0,0,0,0
119.002,118952062500,1,-2.85417,16.0833,-0.514953,3435,135,3703,0,0,0,0,0
