elapsed_s,position_ns,audio_master,error_p50_ms,error_p99_ms,slope_ms_min,presented,dropped,cadence,starved,rebuilds,discontinuities,host_gaps,surface_waits,poll_gap_max_ms,decode_errors,ring_backpressure
50.0123,49949479166,1,-13.1875,30.4375,-8.80138,1498,1,1411,0,0,0,0,0,38.3012,0,1447
51.0122,50949437499,1,-13.3125,30.625,-10.8342,1528,1,1435,0,0,0,0,0,38.3012,0,1477
52.016,51953187499,1,-13.3542,30.625,-8.94251,1559,1,1463,0,0,0,0,0,38.3012,0,1506
53.0306,52967833333,1,-13.3542,30.625,-9.20407,1589,1,1490,0,0,0,0,0,38.3012,0,1534
54.0169,53954187499,1,-13.0208,30.625,-7.82522,1619,1,1517,0,0,0,0,0,38.3012,0,1561
55.0217,54958937499,1,-11.0417,30.625,-7.10992,1649,1,1546,0,0,0,0,0,38.3012,0,1589
56.0173,55954541666,1,-4.16667,30.1042,-5.97574,1679,1,1570,0,0,0,0,0,38.3012,0,1617
57.0007,56937958333,1,-4.08333,30.0625,-6.70657,1708,1,1593,0,0,0,0,0,38.3012,0,1644
58.0027,57939958333,1,-4.1875,22.6458,-6.70657,1738,1,1619,0,0,0,0,0,38.3012,0,1670
59.0188,58956145833,1,-5,22.6458,-6.53428,1769,1,1645,0,0,0,0,0,38.3012,0,1699
60.0191,59956437499,1,-5.4375,24.0417,-5.71596,1799,1,1672,0,0,0,0,0,38.3012,0,1727
61.0214,60958687499,1,-6.72917,24.1667,-5.17291,1829,1,1701,0,0,0,0,0,38.3012,0,1756
62.0068,61944166666,1,-7.22917,25.4167,-5.17291,1858,1,1726,0,0,0,0,0,38.3012,0,1784
63.0033,62940645833,1,-8.35417,26.2292,-6.16965,1888,1,1751,0,0,0,0,0,38.3012,0,1811
64.0089,63946229166,1,-8.95833,27.1875,-5.94915,1918,1,1777,0,0,0,0,0,38.3012,0,1837
65.0061,64943479166,1,-9.72917,27.2708,-6.90264,1948,1,1803,0,0,0,0,0,38.3012,0,1867
66.0112,65948541666,1,-10.3333,27.3542,-6.33968,1978,1,1830,0,0,0,0,0,38.3012,0,1895
67.0251,66962458333,1,-11.375,29.0625,-5.99942,2009,1,1856,0,0,0,0,0,38.3012,0,1924
68.026,67963437499,1,-12,29.8333,-5.84737,2039,1,1884,0,0,0,0,0,38.3012,0,1953
69.01,68947416666,1,-12.4167,30.5,-5.84737,2068,1,1911,0,0,0,0,0,38.3012,0,1980
70.0099,69947354166,1,-13.2292,31.3958,-6.9972,2098,1,1934,0,0,0,0,0,38.3012,0,2006
71.0103,70947749999,1,-13.3958,31.8125,-6.91319,2128,1,1961,0,0,0,0,0,38.3012,0,2033
72.0131,71950520833,1,-12.9167,31.8125,-5.83754,2159,1,1988,0,0,0,0,0,38.3012,0,2064
73.0119,72949374999,1,-12.8125,31.8125,-5.83754,2188,1,2013,0,0,0,0,0,38.3012,0,2093
74.0154,73952874999,1,-12.375,31.8125,-4.98286,2219,1,2039,0,0,0,0,0,38.3012,0,2123
75.0177,74955208333,1,-6.41667,31.8125,-4.36008,2249,1,2066,0,0,0,0,0,38.3012,0,2150
76.0017,75939145833,1,-3.8125,31.8125,-4.36008,2278,1,2094,0,0,0,0,0,38.3012,0,2177
77.018,76955479166,1,-3.79167,31.8125,-4.06921,2309,1,2121,0,0,0,0,0,38.3012,0,2206
78.0179,77955374999,1,-3.91667,22.5833,-3.53265,2339,1,2147,0,0,0,0,0,38.3012,0,2234
79,78937604166,1,-4,22.2917,-3.53265,2368,1,2175,0,0,0,0,0,38.3012,0,2262
80.0179,79955416666,1,-5,22.4167,-2.42629,2399,1,2205,0,0,0,0,0,38.3012,0,2292
81.0045,80942062499,1,-5.8125,22.9375,-2.42629,2428,1,2235,0,0,0,0,0,38.3012,0,2320
82.0055,81943041666,1,-7.04167,24.3542,-2.95128,2458,1,2263,0,0,0,0,0,38.3012,0,2348
83.0054,82942979166,1,-7.64583,25.7292,-4.16973,2488,1,2291,0,0,0,0,0,38.3012,0,2375
84.0058,83943416666,1,-8.25,26.7708,-4.73515,2518,1,2318,0,0,0,0,0,38.3012,0,2402
85.0078,84945416666,1,-9.08333,27.5208,-4.73515,2548,1,2348,0,0,0,0,0,38.3012,0,2432
86.0074,85945020833,1,-9.97917,28.2917,-5.21647,2578,1,2372,0,0,0,0,0,38.3012,0,2461
87.008,86945583333,1,-10.875,29.25,-5.78787,2608,1,2398,0,0,0,0,0,38.3012,0,2487
88.0073,87944874999,1,-11.8542,29.8542,-5.78787,2638,1,2424,0,0,0,0,0,38.3012,0,2513
89.0121,88949729166,1,-12.6458,30.9792,-6.39405,2668,1,2453,0,0,0,0,0,38.3012,0,2540
90.0104,89948062499,1,-13.0833,31.6458,-6.34795,2698,1,2481,0,0,0,0,0,38.3012,0,2565
91.0146,90952229166,1,-13.375,31.7917,-5.60765,2729,1,2508,0,0,0,0,0,38.3012,0,2594
92.0288,91966416666,1,-13.375,31.7917,-5.56937,2758,2,2537,0,0,0,0,0,38.3012,0,2623
93.0128,92950437499,1,-13.5,31.7917,-4.88471,2788,2,2564,0,0,0,0,0,38.3012,0,2651
94.0135,93951124999,1,-13.3125,31.7917,-4.26715,2818,2,2589,0,0,0,0,0,38.3012,0,2679
95.0083,94945937499,1,-13,31.7917,-4.26715,2847,2,2616,0,0,0,0,0,38.3012,0,2707
96.0012,95938854166,1,-6.3125,31.7917,-3.87068,2877,2,2642,0,0,0,0,0,38.3012,0,2736
97.0158,96953479166,1,-4.77083,31.7917,-3.07501,2908,2,2666,0,0,0,0,0,38.3012,0,2763
98.0177,97955458333,1,-4.77083,21.8958,-2.72483,2938,2,2689,0,0,0,0,0,38.3012,0,2791
99.0036,98941354166,1,-4.89583,22.0208,-2.72483,2967,2,2718,0,0,0,0,0,38.3012,0,2820
100.002,99939770833,1,-5.5,23.75,-2.83607,2997,2,2743,0,0,0,0,0,38.3012,0,2847
101.003,100941166666,1,-6.3125,24.4583,-3.16275,3027,2,2772,0,0,0,0,0,38.3012,0,2875
102.006,101943666666,1,-6.9375,25.6875,-3.16275,3057,2,2803,0,0,0,0,0,38.3012,0,2902
103.006,102943687499,1,-7.85417,25.9375,-2.98239,3087,2,2829,0,0,0,0,0,38.3012,0,2930
104.005,103942416666,1,-8.5625,26.4792,-3.69233,3117,2,2854,0,0,0,0,0,38.3012,0,2958
105.003,104940395833,1,-10.0208,26.875,-3.93228,3147,2,2882,0,0,0,0,0,38.3012,0,2988
106.008,105946187499,1,-10.9375,26.875,-3.93228,3177,2,2913,0,0,0,0,0,38.3012,0,3019
107.009,106947041666,1,-11.8333,26.875,-3.77017,3207,2,2943,0,0,0,0,0,38.3012,0,3048
108.01,107947437499,1,-12.3333,26.875,-3.64428,3237,2,2973,0,0,0,0,0,38.3012,0,3077
109.008,108946187499,1,-12.8333,26.875,-3.58906,3267,2,3003,0,0,0,0,0,38.3012,0,3107
110.013,109950416666,1,-13.3542,26.875,-3.07436,3298,2,3032,0,0,0,0,0,38.3012,0,3137
111.012,110949395833,1,-13.4792,26.8958,-3.07436,3327,2,3063,0,0,0,0,0,38.3012,0,3165
112.013,111950749999,1,-13.6042,26.6875,-2.68981,3358,2,3092,0,0,0,0,0,38.3012,0,3190
113.015,112953083333,1,-13.4167,22,-2.352,3388,2,3122,0,0,0,0,0,38.3012,0,3218
114.013,113951229166,1,-13.375,22,-1.98041,3418,2,3151,0,0,0,0,0,38.3012,0,3247
115.017,114954729166,1,-12.9375,19.4583,-1.71968,3448,2,3180,0,0,0,0,0,38.3012,0,3277
116.017,115954749999,1,-3.89583,18.9792,-1.47189,3478,2,3210,0,0,0,0,0,38.3012,0,3307
117.001,116938729166,1,-3.85417,18.9792,-1.47189,3507,2,3240,0,0,0,0,0,38.3012,0,3337
118.001,117938979166,1,-3.875,18.9792,-1.21449,3537,2,3270,0,0,0,0,0,38.3012,0,3367
119.002,118940416666,1,-4.02083,18.7708,-1.02817,3567,2,3300,0,0,0,0,0,38.3012,0,3397
120.002,119940208333,1,-4.58333,18.75,-0.854712,3597,2,3329,0,0,0,0,0,38.3012,0,3426
